"","tweet","asal_tweet","emosi_kakErsya","emosi_kakFarah","emosi_andi"
"33","Dirgahayu indonesia yang ke 75 Merdeka Merdeka dari Covid Sehat terus bangsaku","Malang, Jawa Timur","gembira","gembira","gembira"
"34","Ada Covid om","Malang, Jawa Timur","takut","takut","takut"
"35","claster baru covid 19 pindah ke lawu","Malang, Jawa Timur","takut","takut","sedih"
"36","Uang tidak keluar jadi buronan gugus Covid iya","Malang","marah","marah","marah"
"37","Berharap ada webinar Cara dan Strategi Deketin Doi di tengah Pandemi Covid 19","Malang, Jawa Timur","sedih","gembira","gembira"
"38","Ada covid nggak tetep tidak ada lomba apa-apa","Malang, Jawa Timur","sedih","sedih","sedih"
"39","Mari rayakan Kemerdekaan Indonesia dengan mentaati protokol kesehatan agar terhindar dari penjajahan Covid 19","Malang, Jawa Timur","gembira","gembira","gembira"
"40","SEMBUHLAH NEGERIKU AKU RINDU NEGERIKU YANG BAR BAR SEPERTI SEBELUM COVID 19 MENYERANG","Malang, Jawa Timur","sedih","sedih","gembira"
"41","Gara covid pasti","Malang, East Java ","marah","marah","marah"
"42","nah info palangka yang menginfokan kapuas hinip lalu kalau ai ampih dah kdd c nya covid dikapuas nih wkwkwk","Malang, Jawa Timur","gembira","gembira","gembira"
"43","Emangnya masih diperbolehkan di masa covid gini","Malang Indonesia","marah","marah","marah"
"44","KIMTAEHYUNG WeLoveYouJimin CaratsWithSeventeen Covid 19 Simak plis Wajib ritwit","Malang, Jawa Timur","gembira","gembira","gembira"
"45","satrioo lama kayaknya kalau nunggu covid karena tidak tahu berhentinya covid ini kapan","Nganjuk - Malang","marah","marah","marah"
"46","Mulai jengah dengan mulai maraknya pernikahan masa Covid tapi masih mahal juga","Malang, Jawa Timur","marah","marah","marah"
"47","biar ayamnya sehat tidak terinfeksi covid","Kota Malang, Jawa Timur","takut","takut","gembira"
"48","Serba salah lek oleh undangan kondangan pas musim covid ngene","","marah","takut","marah"
"49","Tentu tidak kita sedang menghadapi penyakit covid 19 dan penyakit hati Koalisi Aksi MENYAKITI Indonesia","malang","marah","marah","marah"
"50","Harusnya dibuktikan dengan semakin banyaknya pasien covid yang bisa sembuh dan tingkat kematian yang minim","malang indonesia","marah","marah","marah"
"51","namakamu Namaku Covid 19","Malang, Jawa Timur, Indonesia","x","x","x"
"52","Iyaa harus Ada Surat bebas covid dan di stasiun malang ada tempat untuk rapid tes dengan disertai kode booking","Kota Malang, Jawa Timur","marah","terkejut","terkejut"
"53","Kopian sudimoro memang nggak kenal covid ckck","East Java, Indonesia","terkejut","terkejut","marah"
"54","weh bencana alam covid rasisme annabelle lalu apa lagi 2020 becanda nya g lucu ya","Kota Malang, Jawa Timur","marah","marah","marah"
"55","Oalaah Barca vs Munchen kmaren itu laga amal covid toh ternyata wkwkwk","Malang, Jawa Timur","terkejut","terkejut","gembira"
"56","Covid bersuka ria","Kota Malang, Jawa Timur","gembira","gembira","gembira"
"57","Dukung perangai covid aja dulu KAMI tunggangi Pandemi","","marah","marah","marah"
"58","Oiya gaboleh harus yang baik baik Semoga covid hilang agar bisa nongki belakang umm","Malang, Jawa Timur","sedih","sedih","sedih"
"59","Tiati kena covid","Malang, Jawa Timur","takut","takut","takut"
"60","di tapi lagi banyak diskon dek Yuk cus sby kangen nge mall berat Covid Oh oke","Malang, Jawa Timur","sedih","sedih","sedih"
"61","mohon info sekarang kalo mau masuk surabaya apakah ada pemeriksaan khusus terkait covid nuwun","Malang","takut","takut","takut"
"62","Di stasiun Malang ada fasilitas buat rapid test covid ga ya Ada yang tau Info dong","Malang, Jawa Timur","takut","takut","takut"
"63","haduuu kok onok ae Annabelle escape barang ati2 kon tertular covid bel bel ws bener nde musem pdhl","Malang, Jawa Timur","marah","marah","marah"
"64","retno cinta buat cinta cintaku ini retno Aku tunggu di Malang kalo covid udah reda","Malang, Jawa Timur, Indonesia","sedih","sedih","sedih"
"65","tidak tau pusing karena covid astagfirullah","Malang, Jawa Timur","sedih","sedih","sedih"
"66","prakoso Iya mas hari ini tadi pagi Iya mas covid Beliau ada riwayat penyakit lain juga","Malang, Jawa Timur, Indonesia","sedih","sedih","sedih"
"67","alvhin tidak bisa kesana aku di daerahku ada yang kena covid jadi ikut isolasi diri dulu ini fitria mau kesana juga mau barengan tidak","Malang, Jawa Timur","takut","takut","sedih"
"68","di pandean ada yang kena covid e Gar male isolasi diri aku juga takut nular ke orang lain","Malang, Jawa Timur","takut","takut","takut"
"69","Sabar ini ujian covid 19 wkwk","Kota Malang, Jawa Timur","gembira","gembira","gembira"
"70","maaf ya aku fokus ujian dulu Lulus jalur covid ae ngomong ujian","Malang, Jawa Timur","marah","marah","marah"
"71","Covid berdampak sekali pada tukang soto perbatasan gkb","Malang","terkejut","terkejut","terkejut"
"72","memanfaatkan moment covid untuk mengumpulkan modal amp melatih fokus target harian","Malang, East Java","gembira","gembira","gembira"
"73","Apa bener maem telur aja udah bisa mencegah covid 19 Ayo baca penjelasan diatas ayo lebih kritis lagi dalam menyikapi informasi","Malang, Jawa Timur","marah","marah","marah"
"74","Lagi lagi ada yang positif Kmrn sok sok an covid dah hilang dan sekarang Tambeng amat diberitahu","Malang","marah","marah","marah"
"75","Hbs liat grup grup di wa Seketika sedi gitu liat project an yang tertunda karena covid","Malang, Jawa Timur","sedih","sedih","sedih"
"76","Gara gara aku salah juga kok ga sepenuhnya karna covid","Kota Malang, Jawa Timur","marah","marah","marah"
"77","Iya kak nanti kalo covid uda kelar ketemuan yuk kak","Malang, East Java, Indonesia","sedih","sedih","sedih"
"78","sebentar lagi akan muncul klaster baru covid klaster wisuda 102","Malang","gembira","takut","terkejut"
"79","KALAU ADA YANG KENA COVID GIMANA NASIB MEREKA","malang","sedih","takut","marah"
"80","Presiden Joko Widodo menegaskan reformasi fundamental di sektor kesehatan harus dipercepat merespon pandemi Covid 19 yang terjadi saat ini","Malang, Jawa Timur","marah","marah","terkejut"
"81","Presiden Joko Widodo Jokowi mengatakan pandemi virus corona Covid 19 membuat pemerintah melakukan reformasi di berbagai sektor","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"82","Neni mengatakan persoalan kesehatan atas Covid 19 bukanlah suatu hal yang baru terjadi di masyarakat global","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"83","Pandemi Covid 19 bukanlah suatu konspirasi Jadi kita lihat kejadian pandemi epidemi itu terus berulang sehingga kita harus siap","Malang, Jawa Timur","gembira","takut","terkejut"
"84","Ahli Bantah Pandemi Covid 19 Sebagai Konspirasi IndonesiaMaju BangkitIndonesiaMaju PidatoPresiden2020","Malang, Jawa Timur","marah","marah","marah"
"85","Mekanisme Silence procedure merupakan mekanisme yang digunakan oleh PBB selama pandemi Covid 19","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"86","Presiden Joko Widodo mengapresiasi kinerja Badan Pemeriksa Keuangan BPK di tengah pandemi Covid 19","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"87","Jokowi Apresiasi Kinerja BPK di Tengah Pandemi Covid 19 IndonesiaMaju BangkitIndonesiaMaju PidatoPresiden2020","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"88","Sementara dalam menangani krisis ekonomi pemerintah memberikan bantuan sosial bansos kepada masyarakat yang terdampak pandemi Covid 19","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"89","Ayo bersatu lawan Covid 19","Malang, Jawa Timur","gembira","gembira","gembira"
"90","Masih adakah yang anggap covid itu hanya rekayasa atau konpirasi aja Semoga vaksin segera ter realisasi","Malang, Jawa Timur","marah","marah","marah"
"91","Tapi negativ covid aku tik","malang","gembira","gembira","gembira"
"92","Sebenar nya dengan momentum Covid ini pelayanan pelayanan bisa dibuat non tatap muka online","Malang","marah","marah","marah"
"93","Hilmiii Alhamdulilah sehat gimana nanganin covid juga ga","Malang, Jawa Timur","gembira","gembira","gembira"
"94","Sampe kapan sih mikir kalau kena covid semacam kutukan Kalau ada korban ya jgn di Bully dong","Malang, Jawa Timur","marah","marah","marah"
"95","Emang kalau ada yang kena covid 19 Kita jadi musahan terus gabisa berteman","Malang, Jawa Timur","marah","marah","marah"
"96","Masih aja ada manusia yang g percara covid Aku udah ga berani kemana mana lho ini cuk","Malang, East Java, Indonesia","takut","takut","takut"
"97","Namun hingga kini RUU Omnibus Law Cipta Kerja masih saja tetap dimasukkan dalam Prolegnas Senayan dan bahkan ditengah Pandemi Covid 19","Malang","marah","marah","marah"
"98","27 orang positif covid 19 di kantor pengadilan agama surabaya semoga mama gpp","Malang, Jawa Timur","takut","takut","takut"
"99","Cepat berakhir covid Ku butuh liburan","","sedih","sedih","sedih"
"100","Bersama kita bisa perangi Covid 19 BUMNPerangiCovid","Malang, Jawa Timur","gembira","gembira","gembira"
"101","gara-gara covid mundur semua yeee wkwkwkwkwk","Malang","gembira","gembira","gembira"
"102","Brang pd blm dtg kendala covid shit mana pada komplen","Malang , Jawa Timur","marah","marah","sedih"
"103","Polanya sama seperti tahun lalu Bedanya tahun ini ada covid tahun lalu ada km","Madiun - Malang","gembira","gembira","gembira"
"104","Patas malang sby tarif covid 50 000 tapi kapasitas penumpang full hehehehe","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"105","Siap menunggu hasil penanganan covid 19 oleh bapak Luhut tersayang","Malang, Jawa Timur","gembira","gembira","gembira"
"106","Ya allah mari due majikan fanatik covid sak iki due majikan fanatik konspirasi wkwk","Malang, Jawa Timur","marah","marah","gembira"
"107","Kalo sampe JRXSID udah dipenjara terus angka Covid 19 masih naek siapa yang harus bertanggung jawab BebaskanJRXSID","Malang, Jawa Timur","marah","marah","marah"
"108","iya gak pulang dari surabaya tah kamu ilham sudah banyak covid loh","Malang, Indonesia","takut","takut","takut"
"109","setiap ada orang meninggal dikira covid, owalah ibu-ibu","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"110","Jokowi mengatakan pemerintah juga telah memberikan sejumlah bantuan kepada masyarakat di tengah pandemi Covid 19","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"111","Politikus PDIP Pemprov DKI Terlihat Tidak Mampu Membuat Kebijakan Mengatasi Covid 19 17agustussudahdekat","","marah","marah","terkejut"
"112","Kementerian Perdagangan mengungkapkan adanya kabar baik di tengah pandemi Covid 19 yang telah memukul perekonomian global","Malang, Jawa Timur","gembira","gembira","terkejut"
"113","dan tentunya terkat dengan Covid segera bisa diputus penyebarannya dan kita semua kembali kepada hal yang normal tutup Gatot","Malang, Jawa Timur","gembira","gembira","terkejut"
"114","Tak kasih tau cara paling mudah menurunkan angka positif covid 19 Gak usah tes tes an Dijamin langsung nol","Bojonegoro - Malang","marah","marah","terkejut"
"115","Apakah ini berhubungan dengan covid 19","Malang","terkejut","terkejut","terkejut"
"116","Jujur gak setuju kalo pasien positif covid dirahasiakan di lingkungan kantor","Malang","marah","marah","marah"
"117","diem koas covid gak tau rssa","Kota Malang, Jawa Timur","marah","marah","marah"
"118","3 Rekomendasi itu efektif mencegah penularan covid 19","Malang","terkejut","terkejut","terkejut"
"119","wah kok banyak yang terinfeksi covid tetanggae temen-temen","Malang, Indonesia","terkejut","terkejut","terkejut"
"120","Ga masuk deh menurutku dengan dia ditahan ato engga banyak yang masi bodo amat sm covid","Kota Malang, Jawa Timur","marah","marah","marah"
"121","biayanya segini xxxxx kalo gabisa bayar bisa saja gratis asal ttd di surat pernyataan bahwa pasien meninggal karna covid","Malang, Jawa Timur","marah","marah","marah"
"122","covid hilang kita berantem yuk","Malang, Jawa Timur","marah","marah","marah"
"123","Baca komennya emosi bawaannya hmmm skli kali aja ke rs tour biar tau gambaran efek covid gimana hmmm","Denpasar - Malang","marah","marah","marah"
"124","Bioskop covid dadakan macam tahu bulett digoreng dadakan","Malang Indonesia","terkejut","terkejut","terkejut"
"125","Vid covid mole ws bengi le kesok maneh","Kota Malang, Jawa Timur","terkejut","terkejut","x"
"126","Gais aku mau ke koreaaaaa Ada yg mau ikut Beli tiketnya skrg berangkatnya nunggu covid kelar","Malang, Jawa Timur","marah","sedih","gembira"
"127","halo broo anda tau JANCOK a yo kon iku jancok seminggu lemot jaringamu kena covid 19 ta broo cok","Malang, indonesia","marah","marah","marah"
"128","289 hasil tes swab semua Klo cm rapid2an gk bs vonis covid dong","malang, east java","marah","marah","marah"
"129","Amin Terima kasih mbak e Bantu doa buat usaha kecil kecilan peyek saya di tengah pandemi Covid 19 Terima kasih","Malang Jawa timur","gembira","gembira","gembira"
"130","betapapun tidak masuk akalnya pendapat jerinx tentang Covid 19 ia tidak pantas dan tidak boleh dipenjara karena pendapat yang berbeda","Malang, Jawa Timur","marah","marah","marah"
"131","Berangkat ke New Zealand diundur2 krn covid ni portal blm dibuka juga","Malang","sedih","sedih","sedih"
"132","tingkat depresi mahasiswa ketika dituntut untuk menyelesaikan studi tepat waktu dan menghasilkan uang di tengah pandemi covid 19","malang","sedih","sedih","sedih"
"133","hudhi Masih percaya covid Anda lebih bodoh ketimbang jerinx","Malang, Jawa Timur","marah","marah","marah"
"134","sama sekali gk setuju kecuali ada kebijakan jaminan yg sekolah bebas Covid 19 dan itu didanai pemerintah ya monggo","Malang","marah","marah","marah"
"135","Dampak positif covid bisa bangun siang","Malang","gembira","gembira","gembira"
"136","Meskipun saya ga suka pendapatnya tentang covid","Kota Malang, Jawa Timur","marah","marah","marah"
"137","Dia orang yg slalu berdebat Covid 19 itu konspirasi dan ngajak masyarakat gk pake masker sampe ngadain demo di Bali gitu","Malang, Jawa Timur","marah","marah","marah"
"138","Semoga indonesia lepas dr covid 19 amiennn","Malang- Jawa timur","sedih","sedih","gembira"
"139","sehat itu adalah untuk kita lawan covid 19 PolriSerukanCuciTangan","Kota Malang, Jawa Timur","takut","takut","terkejut"
"140","cegah penularan covid 19 dengan PolriSerukanCuciTangan","Kota Malang, Jawa Timur","takut","takut","terkejut"
"141","Sudah bosan dengan narativ covid yang membuat orang buntu","Malang","marah","marah","marah"
"142","BaktiSosialPolwan Tetap wajib menerapkan protokol kesehatan untuk meminimalkan penyebaran covid 19","Kota Malang, Jawa Timur","takut","takut","terkejut"
"143","mungkin anda berpikir terlalu negatif bisa saja ybs ingin mengajak anda untuk menguak konspirasi covid 19","Malang, Jawa Timur","marah","marah","marah"
"144","Maringene onok kota sing bakal akeh positif covid e gara2 akeh wong goblok metu ramean","Malang, Jawa Timur","marah","marah","marah"
"145","dan semalem ada keluarga pasien yang nungguin ambulan covid sambil ngopi deket rumah sangking kosonge ambulan dan kudu nunggu lama","Malang, Jawa Timur","sedih","sedih","terkejut"
"146","aku tadi mau ke perpus rs pas udah di depan tempatnya baru inget itu rs jadi rujukan utama covid huhu langsung balik lagi","Kota Malang, Jawa Timur","takut","takut","takut"
"147","gara gara covid jadi banyak join seminar online tapi habis join komputernya aku tinggal balik lagi pas absen","Malang","sedih","gembira","gembira"
"148","Gak menisan nglencer bareng pasien confirm covid 19 ae pak bu","Malang, Jawa Timur","marah","marah","marah"
"149","Kemarin buat protokol covid Mangkanya gak ada yang mengerti","Malang, Jawa Timur","marah","marah","takut"
"150","kenapa setiap gua abis jalan tb tb covid naik lagi","Kota Malang, Jawa Timur","marah","marah","takut"
"151","Ngomong penjualan mobil Esemka di masa covid gini meroket apa anjlok ya bagi info Donk yg tahu didu","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"152","Satgas covid mek gae formalitas tok","Malang, Jawa Timur","marah","marah","marah"
"153","Padahal saya berharap dokter mengurangi bicara covid karena emang udah ga ada Bukan karena lelah Huhu","MALANG","marah","sedih","sedih"
"154","Saya kecewa dengan Media yang membuat Artikel dan meliput berita INews Tribunnews Kompas Tv Sekali lagi Ayah saya BUKAN JENAZAH COVID 19","Malang, Jawa Timur","marah","sedih","sedih"
"155","Apakah berjemur dapat membunuh COVID 19 Apakh betul ges kuuu kuy pelajari lebih dalam dengan baca post di atass","Malang, Jawa Timur","terkejut","takut","terkejut"
"156","31 hari tantangan SiapAdaptasi Hoax Buster Berjemur saja dapat menyembuhkan COVID 19","Malang, Jawa Timur","terkejut","takut","terkejut"
"157","2020 Covid 19 gt Balapan Rabi Nggak ngeluarin duit banyak Aku Selaw aja dulu wkkw","Ponorogo-Malang","terkejut","gembira","gembira"
"158","ngelencer bareng SATGAS COVID 19","Malang, Jawa Timur","gembira","gembira","gembira"
"159","Iki ngono satgas covid e rw rw","Malang, Jawa Timur","takut","takut","marah"
"160","Aku tiap pasien covid makin banyak","Malang, East Java, Indonesia","sedih","takut",""
"161","Kok tetep merasa emosi ya kalau baca baca di media atau speak nya orang2 sok tau tentang covid","Malang, Jawa Timur","marah","marah","marah"
"162","Pandemi covid kayak gini lebih khawatir ke kondisi keluarga ketimbang diri sendiri Tapi tetep mesti jaga diri semuanya","Malang, Jawa Timur","takut","sedih","takut"
"163","Selamat sarjana covid yaa Gimana ngerasain ndredeknya nggak kak","Malang, Jawa Timur","gembira","gembira","gembira"
"164","Ntar kl musim covid udh ilang ya","Malang, Jawa Timur","gembira","sedih","gembira"
"165","Covid menangis lihat acara dibalkot kemarin","MALANG","sedih","sedih","sedih"
"166","Ndk malang spanduk e covid kalah ambk atribut e arema Hehe","malang","sedih","sedih","marah"
"167","Sekarang tu badan anget dikit lgsg parno covid pdhl aku nguliahin org jgn parnoan Please myself don t be Covidiot","Malang, Jawa Timur","marah","takut","takut"
"168","Plis dong ojo malah di ritwit ngko moro sarjana covid ku makin terhambat","Pasuruan - Malang","sedih","sedih","sedih"
"169","Terlepas dari konspirasi atau bukan kita harus selalu jaga protokol kebersihan Virus gak cuma covid jangan pilih kasih dab","Malang, East Java","takut","takut","takut"
"170","Namun ada sejumlah halangan sehingga jenazah pasien Covid 19 tak secara menyeluruh bisa dipenuhi hak haknya","Malang, Jawa Timur","sedih","sedih","terkejut"
"171","Dalam ajaran Islam wajib hukumnya mereka yang hidup memenuhi hak dari seorang jenazah Hal ini tak terkecuali bagi jenazah pasien Covid 19","Malang, Jawa Timur","marah","marah","terkejut"
"172","Jalan Tengah Pemulasaran Jenazah Pasien Covid 19 ProduksiVaksinCorona","Malang, Jawa Timur","terkejut","terkejut",""
"173","min mau tanya klo yg BLT dampak covid apa juga tersedia untuk BPU yang berpenghasilan dibawah 5 juta","Malang, East Java, Indonesia","terkejut","sedih","sedih"
"174","Masih ngeri covid nya nunggu smpe ada vaksin aja deh huhu","Earth","takut","takut","takut"
"175","Dari sini kami bersama sama untuk membangun solidaritas menghadapi Covid 19 ini katanya","Malang, Jawa Timur","takut","takut","takut"
"176","PNS di Banyuwangi Terus Gotong royong Salurkan Bantuan Sosial Covid 19 KAMIProvokatorSaatPandemi","Malang, Jawa Timur","gembira","gembira","gembira"
"177","Pemerintah terus menggulirkan berbagai stimulus untuk menangani imbas pandemi covid 19 di berbagai sektor","Malang, Jawa Timur","gembira","takut","terkejut"
"178","da Huhuhu soale di kelurahan ku rodo rawan akeh sing covid malah ono sing meninggal positif akhir e d mbas no handscoon","Malang","marah","marah","takut"
"179","Dia mengaku sebelumnya dalam dua kali tes rapid dirinya dinyatakan non reaktif Covid 19","Malang, Jawa Timur","terkejut","takut","terkejut"
"180","55 Anggota DPRD Kabupaten Bogor Jalani Tes Swab Covid 19 kentalmanisbukansusu","Malang, Jawa Timur","terkejut","takut","terkejut"
"181","Realitane km ga covid seh medeni","Malang, Jawa Timur","terkejut","terkejut",""
"182","coba kita lihat seberapa melonjaknya kurva covid di malang hmm ndang ngaleh tekan kene ah ayahab ilakes","Malang, Jawa Timur","terkejut","terkejut",""
"183","Apa cuma gw yg salfok ama wakil walkot solo yg kena covid gegara si itu v","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"184","Maaf kmrn malam konvoi dan ngumpul di stadion bgm mau bebas covid yah","Malang","marah","marah","marah"
"185","Semoga covid juga memaklumi ya mas jd ga sampe ada yg positif setelah berkumpul","Kota Malang, Jawa Timur","sedih","takut","marah"
"186","Bayangin pas pandemi covid datang dan gadget di Indonesia masih di era Evercross","Malang, Jawa Timur","sedih","sedih","sedih"
"187","bismillah 18 pen pisan pisan menang giveaway pas corona bokek ngeneiki selamat jugaa nder dah lolos semangat truss","Malang","gembira","gembira","gembira"
"188","Kenapa harus bawa2 wudhu segala kok gak sekalian bilang kalau bakar dupa bs matiin virus corona","Malang City","marah","marah","marah"
"189","Hahaha males panas sek banyak corona disana","malang","takut","takut","takut"
"190","Ada atau tidak ada corona masih sama2 suka ditinggal rapat sampai larut malem","Malang","sedih","sedih",""
"191","semoga kadrun habis dimakan corona KADRUN KAN TAEK","Malang, Jawa Timur","marah","marah","marah"
"192","gerombolan mama seksi sht terusss tan awas corona","Malang, Jawa Timur","marah","marah","marah"
"193","dih diampiri tp gupuh corona","Malang, Indonesia","takut","takut","takut"
"194","pusing sendiri kepikiran corona kapan berakhir","Malang, Jawa Timur","sedih","sedih","sedih"
"195","Lah unggas corona","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"196","MERDEKAAA dari penjajah corona","Kota Malang, Jawa Timur","gembira","gembira","gembira"
"197","Perekonomianya balik mungkin corona ilang atau udah ada vaksinya","Malang","gembira","gembira","gembira"
"198","semoga corona cepet ilang deh lt capek","Malang, Jawa Timur","sedih","takut","takut"
"199","Merdeka dari virus corona","Malang, Jawa Timur","gembira","gembira","gembira"
"200","darma11 nur07 Skrng lg corona trus maunya gimana","Malang, Jawa Timur","marah","sedih","sedih"
"201","Apa itu corona","Malang","takut","takut","takut"
"202","Cantik sih iya tapi kelakuannya kayak corona","malang","marah","terkejut","terkejut"
"203","aditama Awkmu gak pgn merasakan euforiane corona a cep Like this","Malang","gembira","takut","takut"
"204","Sekarang batuk dikit parno jangan jangn Kayanya corona ini uda mulai nyerang psikis","Malang","takut","takut","takut"
"205","sblm corona biasanya dpn smanti ada","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"206","jangan lupa kita belum merdeka dari corona","Malang","takut","takut","takut"
"207","Corona dong kakaaaa awal tahun semoga selesai","Malang","sedih","gembira","gembira"
"208","FESS Cici Muk mnonton dimlg tp corona","Malang","sedih","sedih","sedih"
"209","Kamu tau org yg bkin corona g selesai2 ya org kyk kamu kok isok yo pak e omong ngono","Malang","marah","marah","marah"
"210","dokter takut corona guru tetep ngantor masio corona heuuuh liyeurrr drama bgt negeriku","Malang, Jawa Timur","sedih","sedih","sedih"
"211","Wkwk biyen ngiro corona marine 2minggu tok dadakno sampe 6 ulan cuk asw wkwk","Malang, Jawa Timur","marah","marah","gembira"
"212","Ramene pas kene wes muleh mergo corona","Malang, Jawa Timur","sedih","takut",""
"213","Takut corona","Malang, Jawa Timur","takut","takut","takut"
"214","Mariki jamu temulawak wedang uwuh stmj bakal mundak kabeh obok embel2 e anti corona penambah imun","malang","sedih","sedih","terkejut"
"215","Belom sampek ke gili Corona su mati bob","Malang","gembira","takut","terkejut"
"216","Semoga Indonesia merdeka dari drama Corona Happy independence day guys","Malang","gembira","gembira","gembira"
"217","Masa SMA ku indah sebelum corona menyerang twibbon karyanya","Kota Malang, Jawa Timur","sedih","sedih","sedih"
"218","lek tak rasakno urip iki normal tanpa onok beban corona wes mendelep rupane","Malang, Jawa Timur","gembira","gembira",""
"219","Sejak corona aku belum berenang tapi pengennnn","malang, east java, indonesia","sedih","sedih","sedih"
"220","Dengar kabar salahdua dari dosenku positif corona bikin aku makin betah dikost","Malang, Jawa Timur","takut","takut","takut"
"221","Merdeka dari corona","Malang, Jawa Timur","gembira","gembira","gembira"
"222","jaya selalu Indonesia dan semoga Corona cepat menghilang Proud of u I love dirgahayuindonesia Indonesia","Malang, Jawa Timur","gembira","gembira","gembira"
"223","Pandemi banyak yang rabi Hehehehe Selamat konco2ku yang ibar jalur corona","Malang, Jawa Timur","gembira","gembira","gembira"
"224","Bisa bisanya corona gini mikir 17 agustus ke gunung yang tendanya kaya permukiman jakarta","Kota Malang, Jawa Timur","marah","marah","marah"
