2/15/2015,3889025.318,50122392.19,,31254.578,5847.0952,,4.494913639,3.766940165
2/16/2015,1460389.459,51979159.83,,15674.329,2933.9524,,4.195188958,3.467453064
2/18/2015,1460787.103,53835927.47,,154997.171,28349.0528,,5.190323772,4.452538553
2/20/2015,974292.9374,55692695.11,,17847.297,3203.1869,,4.251572451,3.50558228
2/21/2015,977219.9474,57549462.74,,72576.342,13146.8492,,4.860795075,4.118821681
2/22/2015,489960.3237,59406230.38,,18445.383,3330.5723,,4.265887677,3.522518866
2/23/2015,979985.3034,61262998.02,,36900.886,6643.7586,,4.567036794,3.822413844
2/25/2015,980025.2194,63119765.66,,18508.631,3323.7231,,4.267374297,3.521624835
2/27/2015,2452050.772,64976533.3,,37080.206,6622.2774,,4.569142138,3.821007369
2/28/2015,983079.3134,66833300.93,,55879.775,10016.9621,,4.747254649,4.000736031
3/1/2015,3446304.266,68690068.57,,18650.855,3331.72,,4.270698746,3.522668496
3/2/2015,1482614.827,70546836.21,,18670.295,3341.0512,,4.27115118,3.523883131
3/5/2015,7930562.585,72403603.85,,37358.89,6679.9208,,4.572393964,3.824771313
3/6/2015,994481.5362,74260371.49,,37451.886,6702.9491,,4.573473693,3.826265922
3/7/2015,1992500.29,76117139.12,,18756.787,3358.7228,,4.273158447,3.526174162
3/8/2015,4005257.055,77973906.76,,200610.609,32524.3526,,5.302353896,4.512208661
3/9/2015,1504579.716,79830674.4,,84152.44,12707.0884,,4.925066713,4.104046051
3/10/2015,1003391.252,81687442.04,,194147.474,27513.7806,,5.288131744,4.43955027
3/12/2015,2007107.392,83544209.68,,45741.78,5189.7702,,4.660313061,3.715148128
3/13/2015,1507958.568,85400977.31,,116863.754,13863.6655,,5.067679833,4.141878071
3/14/2015,1510942.104,87257744.95,,193237.256,23267.62,,5.286090862,4.366751962
3/15/2015,503901.0841,89114512.59,,76858.994,8983.9497,,4.885694696,3.953467312
3/16/2015,5087069.811,90971280.23,,210558.706,25046.456,,5.323373203,4.398746283
3/17/2015,1022326.448,92828047.87,,308786.438,39417.2391,,5.489658218,4.595686202
3/19/2015,6704373.227,94684815.5,,145707.148,19093.4071,,5.163480858,4.280883432
3/20/2015,4656385.079,96541583.14,,29756.812,3866.2405,,4.473586401,3.587288866
3/21/2015,1558351.185,98398350.78,,615788.288,61607.3559,,5.789431425,4.78963257
3/22/2015,5206241.083,100255118.4,,356124.41,31914.778,,5.551601743,4.503991828
3/23/2015,3134440.026,102111886.1,,277126.85,27432.8053,,5.442678605,4.438270221
3/24/2015,1569437.176,103968653.7,,467664.564,51553.7805,,5.669934464,4.712260518
3/26/2015,3152154.302,105825421.3,,220542.04,24892.1678,,5.343491387,4.39606272
3/27/2015,527886.3927,107682189,,135260.847,15228.0087,,5.131172103,4.182643116
3/28/2015,2640476.804,109538956.6,,90680.562,10219.4778,,4.957514203,4.009428705
3/29/2015,4236512.924,111395724.2,,228823.815,25971.6857,,5.359501222,4.414500139
3/30/2015,1589865.674,113252491.9,,229603.401,26157.9655,,5.360978317,4.417603963
3/31/2015,1591239.134,115109259.5,,188373.168,21211.3196,,5.275019042,4.326567688
4/2/2015,3183659.416,116966027.2,,48679.442,5080.6685,,4.687345591,3.705920859
4/4/2015,4782342.266,118822794.8,,442573.294,46732.2857,,5.645985204,4.669617023
4/5/2015,6939135.007,120679562.4,,459001.778,50466.638,,5.661814368,4.703004374
4/6/2015,3211811.956,122536330.1,,207547.088,22758.3996,,5.317116644,4.357141719
4/7/2015,2680754.86,124393097.7,,317864.33,35936.673,,5.502241795,4.555537868
4/9/2015,1610313.974,126249865.4,,160481.366,18425.2467,,5.205424612,4.265413311
4/10/2015,1611409.44,128106633,,430953.246,49935.2791,,5.634430156,4.698407482
4/11/2015,3764881.887,129963400.6,,740716.988,83400.1334,,5.869652305,4.921166745
4/12/2015,538562.6927,131820168.3,,783634.33,86030.2701,,5.894113454,4.934651286
4/13/2015,8102352.461,133676935.9,,308465.34,35188.4966,,5.489206373,4.546400712
4/14/2015,541790.5787,135533703.5,,442128.296,51834.1615,,5.64554831,4.714616078
4/16/2015,7605842.678,137390471.2,,585198.308,69815.1019,,5.767303062,4.843949376
4/17/2015,4382352.428,139247238.8,,405372.721,48983.3866,,5.60785452,4.690048808
4/18/2015,9898559.135,141104006.5,,341624.457,39360.9187,,5.533548954,4.595065226
4/19/2015,1101758.761,142960774.1,,137379.086,15744.0862,,5.137920623,4.197117459
4/20/2015,2759449.006,144817541.7,,68822.495,7920.3019,,4.837730413,3.898741736
4/21/2015,2210898.731,146674309.4,,554586.75,64284.8472,,5.743969489,4.808108616
4/22/2015,1106486.477,148531077,,209944.881,24438.2853,,5.32210529,4.388070731
4/24/2015,553301.2987,150387844.6,,284168.008,32109.019,,5.453575183,4.506627037
4/25/2015,3876764.157,152244612.3,,143459.774,15977.8568,,5.156730142,4.203518525
4/26/2015,5557322.224,154101379.9,,144794.206,16224.0853,,5.160751184,4.210160221
4/27/2015,2790978.291,155958147.6,,437075.76,48586.1523,,5.640556721,4.686512507
4/28/2015,2799521.251,157814915.2,,442517.376,49352.9199,,5.645930328,4.693312852
4/29/2015,563084.2702,159671682.8,,302735.516,33912.5734,,5.481063374,4.530360747
4/30/2015,5079100.077,161528450.5,,689797.857,77739.2931,,5.838721841,4.890640587
5/1/2015,3954638.256,163385218.1,,472063.354,53023.4398,,5.674000288,4.724467898
5/2/2015,1130389.898,165241985.7,,238487.033,26997.0919,,5.377464771,4.431316985
5/3/2015,7366459.896,167098753.4,,160741.578,18408.65,,5.206128227,4.265021941
5/4/2015,2272084.271,168955521,,241988.271,27812.0943,,5.383794317,4.444233693
5/7/2015,1706592.348,170812288.7,,484768.394,55888.6254,,5.685534297,4.747323428
5/8/2015,6270389.525,172669056.3,,567030.435,65458.7339,,5.75360637,4.815967601
5/9/2015,572930.6592,174525823.9,,243937.174,28307.7686,,5.387277988,4.451905637
5/10/2015,1719125.144,176382591.6,,327082.022,37992.254,,5.514656674,4.57969506
5/11/2015,573277.0692,178239359.2,,84277.598,9912.787,,4.925712149,3.996195774
5/12/2015,4589382.168,180096126.9,,507360.248,59817.0128,,5.705316437,4.776824721
5/13/2015,1149135.606,181952894.5,,685952.958,79945.5924,,5.836294333,4.902794525
5/14/2015,6909795.674,183809662.1,,701850.492,79830.4681,,5.846244609,4.902168676
5/15/2015,1155521.853,185666429.8,,178086.994,19443.915,,5.250632203,4.288783714
5/16/2015,578042.8787,187523197.4,,539339.9,56889.0287,,5.73186255,4.755028519
5/17/2015,2312465.499,189379965,,90602.787,9437.9846,,4.957141557,3.974879264
5/18/2015,578188.2067,191236732.7,,181727.734,18914.2852,,5.259421211,4.276789933
5/20/2015,1156709.093,193093500.3,,90983.747,9504.6746,,4.958963818,3.977937253
5/21/2015,1735214.096,194950268,,367537.724,37367.0654,,5.565301922,4.572488992
5/22/2015,2323658.639,196807035.6,,184014.43,18755.4016,,5.264851881,4.273126368
5/23/2015,3497387.042,198663803.2,,645514.545,66080.256,,5.809906032,4.820071717
5/24/2015,1168407.231,200520570.9,,961467.476,110751.6998,,5.982934598,5.0443504
5/25/2015,4683503.708,202377338.5,,193534.404,22408.3452,,5.286758179,4.350409786
5/26/2015,4691012.258,204234106.1,,678277.621,78517.4792,,5.831407488,4.894966348
5/28/2015,5286121.895,206090873.8,,97229.715,11325.493,,4.987799013,4.054057116
5/29/2015,4708448.352,207947641.4,,291989.205,33435.8662,,5.465366796,4.524212579
5/30/2015,2357564.155,209804409.1,,785395.248,89904.1686,,5.895088269,4.953779829
5/31/2015,10077741.47,211661176.7,,501205.697,56669.2996,,5.700015999,4.753347845
6/1/2015,4167116.998,213517944.3,,302861.485,34224.2742,,5.481244047,4.534334247
6/4/2015,3575279.208,215374712,,814945.699,91445.605,,5.911128672,4.961162838
6/5/2015,1196684.155,217231479.6,,207392.166,23759.1701,,5.316792347,4.375831267
6/7/2015,2393534.303,219088247.3,,1182404.558,143345.2713,,6.072766095,5.156383371
6/8/2015,5392160.291,220945014.9,,546162.22,67798.732,,5.737321655,4.831221572
6/9/2015,4199981.668,222801782.5,,551344.442,68998.8374,,5.741423001,4.838841773
6/11/2015,7820371.638,224658550.2,,553183.746,68980.6334,,5.742869411,4.838727178
6/12/2015,3018807.681,226515317.8,,1005830.564,122374.4502,,6.002524828,5.087690754
6/13/2015,6045971.491,228372085.4,,224797.209,26780.2387,,5.351790915,4.427814444
6/14/2015,605015.3637,230228853.1,,454799.392,53600.8598,,5.657819875,4.729171756
6/15/2015,3632389.934,232085620.7,,1890893.176,220561.4631,,6.276666995,5.343529634
6/16/2015,3641613.766,233942388.4,,120988.894,14348.4881,,5.082745507,4.156806142
6/18/2015,8538367.9,235799156,,121003.414,14353.2797,,5.082797624,4.156951148
6/19/2015,3667794.632,237655923.6,,121216.354,14410.7735,,5.083561217,4.158687292
6/20/2015,2448071.739,239512691.3,,487712.6,57380.6268,,5.688163976,4.758765288
6/21/2015,612460.3647,241369458.9,,491462.424,57553.4096,,5.691490318,4.760071057
6/22/2015,1840206.392,243226226.5,,621618.878,74384.0884,,5.793524195,4.871480045
6/23/2015,4305163.978,245082994.2,,126481.422,15548.0823,,5.10202674,4.191676831
6/25/2015,6158367.419,246939761.8,,1145828.185,139527.5323,,6.059119501,5.144659913
6/26/2015,4317605.446,248796529.5,,2343554.682,285614.1945,,6.369875091,5.455779787
6/28/2015,3711628.432,250653297.1,,934767.1902,114715.3627,,5.97070346,5.059621583
6/29/2015,2477269.111,252510064.7,,403482.2018,49131.3702,,5.605824382,4.691358876
7/2/2015,8069895.512,254366832.4,,134507.0806,16378.9012,,5.128745147,4.214284763
7/3/2015,3108420.569,256223600,,540764.1544,65656.412,,5.733007896,4.817277146
7/4/2015,1869476.171,258080367.6,,407214.0418,49384.3152,,5.609822745,4.693589036
7/5/2015,4362704.454,259937135.3,,821444.7936,99272.8036,,5.914578381,4.996830287
7/6/2015,4368427.026,261793902.9,,275202.9832,33241.2142,,5.439653137,4.521676879
7/8/2015,624701.6937,263650670.6,,1104323.693,134119.6296,,6.04309639,5.127492345
7/9/2015,8757025.768,265507438.2,,416261.0108,50779.0681,,5.619365734,4.705684726
7/10/2015,1252624.267,267364205.8,,278051.7392,33937.9924,,5.444125616,4.530686148
7/11/2015,6898681.805,269220973.5,,556981.3584,68168.1012,,5.74584066,4.833581197
7/12/2015,5035211.918,271077741.1,,1402295.12,172147.7168,,6.146839423,5.235901267
7/13/2015,3159568.16,272934508.8,,283038.8072,34871.4884,,5.451845985,4.542470485
7/14/2015,2531597.511,274791276.4,,283930.6672,34837.9404,,5.453212303,4.542052472
7/16/2015,4449730.293,276648044,,427392.8388,52199.9418,,5.630827241,4.717670019
7/17/2015,2546505.267,278504811.7,,1285925.751,156992.445,,6.109215893,5.195878753
7/18/2015,3186403.448,280361579.3,,1444902.828,178564.748,,6.159838641,5.251795725
7/19/2015,637372.6957,282218346.9,,1758681.779,216876.6012,,6.245187264,5.336212699
7/20/2015,6386194.677,284075114.6,,147526.8666,18104.3486,,5.168871118,4.257782903
7/23/2015,1920672.563,285931882.2,,1329259.295,162558.2076,,6.123609706,5.211008902
7/24/2015,2562235.353,287788649.9,,295651.4012,36151.7894,,5.470779942,4.558129798
7/25/2015,5134153.066,289645417.5,,296190.1172,36107.1624,,5.471570564,4.557593359
7/26/2015,4507104.019,291502185.1,,742668.549,90765.7308,,5.870795033,4.957921909
7/27/2015,644194.3047,293358952.8,,2250203.021,271839.0997,,6.352221703,5.434311923
7/30/2015,3222354.518,295215720.4,,1217223.143,147068.8564,,6.085370201,5.167520715
7/31/2015,3239692.222,297072488,,1228833.145,147983.755,,6.089492917,5.170214043
8/1/2015,1297718.953,298929255.7,,1402325.145,168873.5375,,6.146848722,5.227561601
8/2/2015,4550705.979,300786023.3,,817142.103,95762.3381,,5.912297588,4.981194741
8/5/2015,2602830.327,302642791,,2521327.195,268194.8876,,6.401629208,5.428450495
8/6/2015,3254404.921,304499558.6,,511582.0898,47177.3569,,5.708915332,4.673733606
8/7/2015,5212830.231,306356326.2,,512552.1098,47267.6583,,5.709738026,4.674564087
8/8/2015,4567607.141,308213093.9,,172294.4686,16031.1177,,5.236271335,4.204963803
8/9/2015,11147910.89,310069861.5,,1034624.492,96427.6422,,6.014782755,4.984201548
8/10/2015,4608275.231,311926629.2,,518529.2698,48575.0197,,5.714773276,4.686412985
8/11/2015,1976574.784,313783396.8,,1042382.444,97304.1087,,6.018027088,4.988131179
8/13/2015,3955500.295,315640164.4,,1582816.681,151657.1804,,6.199430619,5.180862977
8/15/2015,1979871.452,317496932.1,,2130993.455,207743.4707,,6.328582116,5.317527383
8/16/2015,8613311.603,319353699.7,,358403.6972,35342.2752,,5.554372481,4.548294504
8/17/2015,3317851.858,321210467.3,,2364527.517,240098.4436,,6.373744372,5.380389345
8/21/2015,10647111.98,323067235,,1667115.277,172657.4539,,6.221965631,5.237185332
8/22/2015,1333370.396,324924002.6,,748046.1804,78266.6876,,5.87392841,4.893576954
8/23/2015,7339964.969,326780770.3,,2074379.243,217900.9332,,6.316888158,5.33825909
8/24/2015,9417439.387,328637537.9,,1706137.387,180014.3016,,6.232014,5.25530701
8/25/2015,3376156.103,330494305.5,,190843.0266,19837.0902,,5.280676295,4.297477968
8/27/2015,3379254.059,332351073.2,,955168.873,99579.0878,,5.980080161,4.998168144
8/28/2015,6807141.809,334207840.8,,1343892.018,140700.1951,,6.128364375,5.1482947
8/29/2015,1365179.088,336064608.4,,775253.3364,81674.1689,,5.889443644,4.912084724
8/31/2015,4790402.901,337921376.1,,583902.1498,62331.9985,,5.766340074,4.794711052
9/1/2015,4804583.314,339778143.7,,1948816.238,208542.9478,,6.28977089,5.319195508
9/3/2015,9643185.271,341634911.4,,780961.9344,83809.024,,5.892629866,4.923290783
9/4/2015,4832505.054,343491679,,2743854.928,294886.2054,,6.438361146,5.469654457
9/5/2015,6221666.739,345348446.6,,1181686.438,126733.6395,,6.072502251,5.102891907
9/6/2015,6920312.127,347205214.3,,1385894.872,149672.3487,,6.141730288,5.175141574
9/7/2015,9718829.449,349061981.9,,997666.1475,107971.5549,,5.998985236,5.033309356
9/8/2015,2086458.633,350918749.5,,400126.8942,42651.8434,,5.602197743,4.629937806
9/10/2015,6266039.484,352775517.2,,200203.9371,21349.2227,,5.301472614,4.329382067
9/11/2015,9075090.68,354632284.8,,1001801.778,106906.6497,,6.000781798,5.02900472
9/12/2015,6295403.798,356489052.5,,1814077.956,194858.983,,6.258655946,5.289720432
9/13/2015,9825299.833,358345820.1,,407891.5262,44705.4202,,5.610544683,4.650360181
9/14/2015,4936735.128,360202587.7,,408459.8302,44735.5472,,5.611149352,4.650652754
9/15/2015,9900393.157,362059355.4,,408634.0542,44789.3222,,5.611334556,4.65117449
9/16/2015,708875.2529,363916123,,5159136.151,556140.2488,,6.712576989,5.745184327
9/17/2015,16428401.65,365772890.7,,5910602.267,548594.469,,6.771631736,5.739251425
9/18/2015,10112949.87,367629658.3,,2918279.081,270051.6307,,6.465126822,5.431446804
9/19/2015,4347660.093,369486425.9,,1135725.763,103075.0135,,6.055273477,5.0131534
9/20/2015,5080985.248,371343193.6,,228125.3361,20772.2038,,5.358173522,4.317482575
9/21/2015,14605240.62,373199961.2,,2519176.901,229685.408,,6.401258666,5.361133405
9/22/2015,8079860.258,375056728.8,,3505828.998,321965.8601,,6.544790729,5.507809823
9/24/2015,14032486.15,376913496.5,,4501236.562,423033.0537,,6.653331838,5.626374302
9/25/2015,15580054.11,378770264.1,,718343.6083,69513.9862,,5.856332232,4.842072193
9/26/2015,14897154.06,380627031.8,,239496.1081,23190.4252,,5.37929846,4.365308712
9/27/2015,7470124.281,382483799.4,,3358143.052,326191.5372,,6.526099193,5.513472689
9/28/2015,8242134.372,384340567,,2228039.518,200294.213,,6.347922889,5.301668402
10/1/2015,4502352.669,386197334.7,,4529285.224,390187.5485,,6.65602967,5.591273406
10/2/2015,11276485.15,388054102.3,,4115553.464,373120.9192,,6.614428248,5.571849599
10/3/2015,4514382.207,389910869.9,,2065952.141,187387.921,,6.315120257,5.272741593
10/4/2015,3011992.932,391767637.6,,3184540.203,316137.1303,,6.503046736,5.499875507
10/5/2015,5273536.546,393624405.2,,269785.4511,28336.9085,,5.431018525,4.452352468
10/8/2015,2262229.627,395481172.9,,1350327.623,141339.9143,,6.130439152,5.150264824
10/9/2015,9064686.509,397337940.5,,3524509.137,369001.9397,,6.547098641,5.567028649
10/10/2015,3789511.418,399194708.1,,816415.3017,85683.9119,,5.911911136,4.932899286
10/11/2015,2278473.232,401051475.8,,1090409.848,114580.8748,,6.037589765,5.059112134
10/12/2015,8373839.439,402908243.4,,5252360.502,550793.9262,,6.720354527,5.740989142
10/13/2015,1524276.563,404765011.1,,1687566.215,177676.5123,,6.227260822,5.249630021
10/15/2015,6118185.555,406621778.7,,281985.9979,29677.3221,,5.450227544,4.47242471
10/16/2015,766326.7754,408478546.3,,1976152.937,208360.1354,,6.295820552,5.318814631
10/17/2015,766404.6554,410335314,,3682276.352,386847.3838,,6.566116379,5.587539664
10/18/2015,3833249.155,412192081.6,,1134779.934,119123.989,,6.054911648,5.075999228
10/19/2015,4607160.556,414048849.2,,568634.9658,59639.4296,,5.754833561,4.775533481
10/20/2015,3846443.103,415905616.9,,1138106.512,119406.3344,,6.056182908,5.077027366
10/22/2015,1539296.955,417762384.5,,570091.6458,59827.4696,,5.755944677,4.776900635
10/23/2015,11564209.74,419619152.2,,570369.9498,59903.9532,,5.756156636,4.777455483
10/24/2015,3861538.511,421475919.8,,856312.3007,90113.6517,,5.932632183,4.954790589
10/25/2015,4640360.262,423332687.4,,2866936.145,301402.0934,,6.45741802,5.479146264
10/26/2015,6197195.157,425189455.1,,2596515.292,272905.791,,6.414390885,5.436012751
10/28/2015,3102504.438,427046222.7,,866890.2547,91018.7121,,5.937964121,4.959130686
10/29/2015,1551621.939,428902990.3,,3196817.184,337870.3201,,6.504717801,5.528750043
10/30/2015,5437873.874,430759758,,2933002.015,313539.4414,,6.467312361,5.49629218
10/31/2015,13243732.78,432616525.6,,887589.9867,95569.5924,,5.948212394,4.980319734
11/1/2015,9390718.979,434473293.3,,592068.2038,63808.1056,,5.772371739,4.804875851
11/2/2015,8660498.283,436330060.9,,888649.8647,95752.4064,,5.948730679,4.981149697
11/3/2015,3957434.453,438186828.5,,2687036.992,291138.8256,,6.429273645,5.464100126
11/5/2015,6346684.591,440043596.2,,2097177.722,228050.0324,,6.321635236,5.358030138
11/6/2015,1587058.2,441900363.8,,2408549.653,260482.1905,,6.381755604,5.415778035
11/7/2015,11132967.29,443757131.4,,1813917.395,195222.1878,,6.258617506,5.290529175
11/8/2015,21587136.77,445613899.1,,606105.4578,65238.5008,,5.782548195,4.814503972
11/9/2015,10549459.22,447470666.7,,909464.5647,97910.2968,,5.958785782,4.990828367
11/10/2015,6524344.253,449327434.4,,909766.0107,97976.034,,5.958929707,4.991119856
11/11/2015,1634877.631,451184202,,607067.9218,65349.699,,5.783237285,4.815243592
11/12/2015,8998654.926,453040969.6,,607484.5698,65399.3864,,5.783535251,4.815573674
11/13/2015,17225519.81,454897737.3,,1826878.803,196324.0216,,6.261709737,5.292973442
11/14/2015,10702169.75,456754504.9,,924064.2247,99448.8425,,5.965702157,4.997599733
11/15/2015,6601092.719,458611272.6,,5883136.549,633486.0165,,6.769608929,5.801737033
11/16/2015,9936426.851,460468040.2,,6338586.49,670534.4153,,6.801992421,5.826421073
11/17/2015,9142648.254,462324807.8,,3512107.57,372722.1249,,6.545567809,5.571385173
11/19/2015,3335106.862,464181575.5,,4508044.894,477678.0804,,6.653988232,5.679135313
11/20/2015,20898346.39,466038343.1,,4923107.677,541351.6098,,6.692239335,5.733479433
11/21/2015,17625685.97,467895110.7,,2645112.359,290897.3354,,6.422444125,5.463739743
11/22/2015,11777704.13,469751878.4,,331509.2859,36370.0444,,5.520495698,4.560743831
11/23/2015,8439328.21,471608646,,4654542.411,510239.7389,,6.667876992,5.70777428
11/24/2015,8455195.534,473465413.7,,333292.0039,36550.5489,,5.522824895,4.562893903
11/25/2015,846205.0934,475322181.3,,2341090.553,256679.4693,,6.369418213,5.409391133
11/26/2015,5080105.384,477178948.9,,4029900.007,443248.4613,,6.60529427,5.646647237
11/27/2015,14437058.37,479035716.6,,8869019.859,944106.7841,,6.947875627,5.975021118
11/28/2015,11075395.49,480892484.2,,3802248.897,404878.6403,,6.580040543,5.607324866
11/29/2015,8545802.729,482749251.8,,2775695.617,296888.6072,,6.44337184,5.472593532
11/30/2015,12843779.56,484606019.5,,2784529.105,298933.0507,,6.444751762,5.475573934
12/1/2015,12047386.33,486462787.1,,3494825.928,376413.2014,,6.543425549,5.575664846
12/3/2015,10386184.86,488319554.8,,4622482.043,505979.7845,,6.664875233,5.704133166
12/4/2015,13906023.89,490176322.4,,7261168.954,786235.9886,,6.861006542,5.895552919
12/5/2015,10464319.16,492033090,,4811429.928,528372.0392,,6.682274165,5.722939827
12/6/2015,21004376.12,493889857.7,,1492239.254,165830.7736,,6.17383846,5.219665127
12/7/2015,7911986.09,495746625.3,,3367387.445,376411.946,,6.527293088,5.575663398
12/8/2015,5291238.773,497603393,,3002338.877,337817.3488,,6.47745971,5.528681949
12/9/2015,882514.9289,499460160.6,,4520099.657,507525.8412,,6.65514801,5.70545816
12/10/2015,17687797.17,501316928.2,,7217036.263,801660.0549,,6.858358888,5.903990244
12/11/2015,15955680.16,503173695.9,,6153037.399,675671.2047,,6.789089555,5.829735411
12/12/2015,12430450.4,505030463.5,,5435718.45,590764.7092,,6.735256954,5.771414544
12/13/2015,8003270.848,506887231.1,,777628.8392,84537.4738,,5.890772358,4.927049266
12/14/2015,10681167.44,508743998.8,,5067013.861,550858.5421,,6.704752092,5.741040088
12/15/2015,8040523.48,510600766.4,,1957865.314,211788.7487,,6.291782812,5.325902884
12/16/2015,896016.5229,512457534.1,,1567844.244,169717.8964,,6.195302916,5.22972764
12/17/2015,10766853.57,514314301.7,,4754130.163,518509.282,,6.677071068,5.714756535
12/18/2015,6291444.632,516171069.3,,5585633.364,606111.2969,,6.747072426,5.782552379
12/19/2015,12630477.76,518027837,,799905.0312,87089.6712,,5.903038428,4.939966651
12/20/2015,9962823.998,519884604.6,,400095.4556,43613.4468,,5.602163619,4.639620411
12/21/2015,9991256.926,521741372.2,,6436272.534,702730.0879,,6.808634425,5.846788549
12/22/2015,2728609.67,523598139.9,,4441497.13,482225.7998,,6.647529386,5.683250442
12/23/2015,910023.8159,525454907.5,,1621271.902,176500.1472,,6.209855856,5.246745072
12/24/2015,17319428.8,527311675.2,,5277686.231,575376.0029,,6.722443567,5.759951745
12/25/2015,14711270.67,529168442.8,,3256857.017,355028.7091,,6.512798692,5.550263473
12/26/2015,3687859.72,531025210.4,,2042621.67,222619.2586,,6.310187935,5.347562732
12/27/2015,20346545.87,532881978.1,,3717910.802,401573.4608,,6.570298966,5.603765003
12/28/2015,1854980.15,534738745.7,,2483468.379,267113.3206,,6.395058635,5.426695546
12/29/2015,927508.8431,536595513.3,,3742802.605,404977.4122,,6.573196923,5.607430801
12/30/2015,4646663.015,538452281,,2111951.881,233405.8239,,6.324684019,5.368111688
12/31/2015,10248123.93,540309048.6,,6378712.255,701989.1351,,6.804733011,5.84633039
Grand Total,1465346461,,,854688.4862,94022.6774,,5.931807853,4.973232614
,,,,5152136.211,566581.2986,,6.711987336,5.753262235
,,,,10450783.89,1162176.498,,7.019148867,6.065272089
,,,,1758058.02,196375.8168,,6.245033204,5.293088004
,,,,2640357.439,295045.4455,,6.421662724,5.469888915
,,,,3968871.97,444123.3711,,6.598667089,5.647503628
,,,,4866758.552,544532.6176,,6.687239801,5.736023899
,,,,6672412.767,744474.6891,,6.824282905,5.871849937
,,,,7144518.74,796216.1682,,6.85397298,5.901030992
,,,,2704844.017,298840.782,,6.432142225,5.475439864
,,,,7252471.696,805775.5615,,6.860486043,5.906214091
,,,,5918615.043,653750.9784,,6.772220094,5.815412352
,,,,6431692.609,709634.9612,,6.80832528,5.851035004
,,,,3703201.243,404830.369,,6.568577314,5.607273084
,,,,1856767.638,200791.4536,,6.268757558,5.302745224
,,,,1396297.047,149829.4788,,6.14497782,5.175597269
,,,,2794450.182,300122.8744,,6.446296372,5.477299097
,,,,931799.2734,100134.0454,,5.969322367,5.000581762
,,,,1864655.093,200649.0125,,6.270598512,5.302437027
,,,,467282.7797,49824.1193,,5.669579777,4.697439631
,,,,2807687.364,299496.6038,,6.448348747,5.476391902
,,,,1874001.927,199950.5314,,6.272770033,5.300922563
,,,,1407145.567,149219.5299,,6.148339027,5.173825667
,,,,938624.2914,99459.4838,,5.972491789,4.997646201
,,,,938896.2954,99485.692,,5.972617625,4.997760625
,,,,469468.5777,49748.4137,,5.67160653,4.696779237
,,,,469651.2977,49832.4649,,5.671775527,4.69751237
,,,,1883743.723,198736.5872,,6.275021818,5.298277828
,,,,477522.1937,47778.5093,,5.678993561,4.679232596
,,,,1434984.189,143730.2436,,6.156847116,5.157548162
,,,,1439230.021,144311.9714,,6.158130209,5.159302359
,,,,2880442.846,289304.8158,,6.459459262,5.461355663
,,,,4337127.365,436866.1386,,6.637202176,5.640348384
,,,,966052.2074,97338.4278,,5.985000597,4.988284327
,,,,1932608.263,194599.7836,,6.286143832,5.289142353
,,,,2417082.907,243396.8171,,6.383291547,5.386314895
,,,,484024.4677,48763.3161,,5.684867316,4.688093232
